,Hotel Names,Location ,Ratings,Number of Reviews,Prices
24,Hotel Boss,"Kallang, Singapore",7.1,"6,201 reviews",S$ 158
25,M Social Singapore,"Robertson Quay, Singapore",7.7,"2,708 reviews",S$ 254
26,Ramada by Wyndham Singapore at Zhongshan Park,"Novena, Singapore",8.2,"1,779 reviews",S$ 244
27,Pan Pacific Singapore,"Marina Bay, Singapore",8.7,"2,332 reviews",S$ 590
28,Marina Bay Sands,"Marina Bay, Singapore",9.1,"8,115 reviews",S$ 882
29,"Holiday Inn Singapore Atrium, an IHG Hotel","Robertson Quay, Singapore",8.2,172 reviews,S$ 282
30,The St Regis Singapore,"Orchard, Singapore",8.8,557 reviews,S$ 576
31,"Holiday Inn Express Singapore Orchard Road, an IHG Hotel","Orchard, Singapore",8.3,686 reviews,S$ 335
32,Hotel Boss,"Kallang, Singapore",7.1,"6,201 reviews",S$ 158
33,Days Hotel by Wyndham Singapore at Zhongshan Park,"Novena, Singapore",8.2,"1,035 reviews",S$ 191
34,Ibis Styles Singapore On Macpherson,"Macpherson, Singapore",6.6,780 reviews,S$ 189
35,"Crowne Plaza Changi Airport, an IHG Hotel","Changi, Singapore",8.7,"1,903 reviews",S$ 492
36,"Holiday Inn Singapore Orchard City Centre, an IHG Hotel","Orchard, Singapore",8.1,631 reviews,S$ 375
37,Park Regis Singapore,"Clarke Quay, Singapore",7.9,"1,651 reviews",S$ 264
38,"Holiday Inn Express Singapore Serangoon, an IHG Hotel","Lavender, Singapore",8.3,513 reviews,S$ 236
39,Sofitel Singapore City Centre,"Tanjong Pagar, Singapore",8.7,236 reviews,S$ 614
40,"PARKROYAL COLLECTION Pickering, Singapore","Chinatown, Singapore",8.8,"2,910 reviews",S$ 565
41,"Four Points by Sheraton Singapore, Riverview","Robertson Quay, Singapore",8.1,608 reviews,S$ 377
42,YOTELAIR Singapore Changi Airport Landside,"Changi, Singapore",7.8,"3,293 reviews",S$ 311
43,Village Hotel Katong by Far East Hospitality,"Katong, Singapore",8.5,"1,117 reviews",S$ 217
44,JW Marriott Hotel Singapore South Beach,"City Hall, Singapore",8.5,303 reviews,S$ 611
45,Ji Hotel Orchard Singapore,"Dhoby Ghaut, Singapore",8.3,524 reviews,S$ 194
46,"Oasia Hotel Downtown, Singapore by Far East Hospitality","Chinatown, Singapore",8.4,"1,080 reviews",S$ 420
47,Royal Plaza on Scotts,"Orchard, Singapore",8.1,"1,018 reviews",S$ 306
48,Goodwood Park Hotel,"Orchard, Singapore",8.4,999 reviews,S$ 447
49,The Sultan,"Kampong Glam, Singapore",8,608 reviews,S$ 156
