2017,2.9,USERS in million users,
2018,3.0,Year,Users
2019,3.1,,
2020,1.5,,
2021,2.1,,
2022,2.9,,
2023,3.5,,
2024,4.2,,
2025,4.4,,
2026,4.6,,
