,No.,neg,neu,pos,compound,Hotel Name,Ratings,Reviews
135,138,0.078,0.678,0.244,0.765,Royal Plaza on Scotts,4,great link multi storey carpark hotel level  open back level one instead walking one big round hotel entrance raining worse think breakfast spread quality food improved like spacious room service staff 
136,139,0.091,0.603,0.306,0.9358,Royal Plaza on Scotts,4,room rate came breakfast neither  star singapore like variety food given looked like counted small baskets plates often empty great location walking distance orchard road ion orchard well maintained clean hotel specious room executive suite bedroom separate living room suite overall good came complimentary minibar staff typical singapore kind supportive 
137,140,0.168,0.578,0.254,0.4993,Royal Plaza on Scotts,4,check took quite long time cos room wasnt ready location clean room strong wifi comfortable bed morning breakfast spread 
138,141,0.0,0.25,0.75,0.7184,Royal Plaza on Scotts,4,loved bed slept well 
139,142,0.176,0.605,0.219,0.1451,Royal Plaza on Scotts,4,nothing liked location facilities access executive lounge good plus rate 
140,143,0.022,0.775,0.203,0.9246,Royal Plaza on Scotts,4,bacon proper milk tea room meals limited far western palate concerned view room rooftops air con units soon stepped door forehead temperature check every time meal well area around hotel felt safe secure staff always available help got things instead local bus service good tour big bus company ran good outfit city also thriving city minutes away room iron board hair drier staff departments seemed customer focussed meal time places cleared immeadiatly cleaned swept 
141,144,0.0,0.92,0.08,0.4215,Royal Plaza on Scotts,4,rooms generally view expected given location heart orchard located near main strip orchard road minutes walk ion tangs mrt station staff efficient attended needs requested standard room larger find singapore aside serviced apartments 
142,145,0.315,0.685,0.0,-0.3182,Grand Copthorne Waterfront,3,location isolated nothing much expect breakfast 
143,146,0.0,0.495,0.505,0.9607,Grand Copthorne Waterfront,4,location convenient public transport paul concierge supremely helpful booking us taxis advising best food places breakfast morning nicely varied delicious rooms well cleaned maintained day 
144,147,0.0,0.758,0.242,0.4939,Grand Copthorne Waterfront,4,time slot booking breakfast expensive surcharge early check requested friendly staff 
145,148,0.0,0.484,0.516,0.8225,Grand Copthorne Waterfront,4,bathroom well clean swimming pool small gym facilities old room well clean time 
146,149,0.0,0.791,0.209,0.4404,Grand Copthorne Waterfront,4,room carpet smelly pool side bar closed lights button working ambiance good 
147,150,0.132,0.51,0.359,0.8934,Grand Copthorne Waterfront,4,air con cool love water good strong flow water love staff services slow check staff issue wrong invoice take time since give information advance  days still wrong bath hub cannot used 
148,151,0.13,0.217,0.652,0.802,Grand Copthorne Waterfront,4,room commensurate value charged hotel beautiful clean 
149,152,0.0,0.601,0.399,0.8834,Grand Copthorne Waterfront,4,false cost clear rate sold include cost  booking com ensure full real cost quoted room pillows bed comfortable nice views city 
150,153,0.0,1.0,0.0,0.0,Grand Copthorne Waterfront,4,nil bf 
151,154,0.0,0.559,0.441,0.9217,Grand Copthorne Waterfront,4,breakfast small area considering guests food quality improved massive hotel busy times seems popular choice group travelers clean efficient front desk staff helpful 
152,155,0.107,0.783,0.11,0.0371,Grand Copthorne Waterfront,4,perhaps room dining option reviewed hehe overall exceeding expectations especially terms value money location cleanliness service quality facilities meets basic requirements especially travel work facilities considered quite well maintained location reasonably convenient get really nearby bus stop stop mrt station 
153,156,0.0,0.823,0.177,0.6249,Grand Copthorne Waterfront,3,misunderstandings quite often waiting time arrival room long general questions waiting time long simple questions answers river restaurant staff awesome 
154,157,0.073,0.7,0.227,0.9001,Grand Copthorne Waterfront,4,however room service staff operator needs training told telephone operator refreidgerator rooms actually near writing table also room delivery staff speak english problem plug points wall  pin child lock difficult use  pin plug unless adaptor water drain well wash basin pillows high excellent location breakfast friendly helpfull staff beautiful seating river front food drink service comfortable rooms 
155,158,0.0,0.58,0.42,0.4404,Grand Copthorne Waterfront,4,breakfast easy access walking cycling 
156,159,0.0,1.0,0.0,0.0,Grand Copthorne Waterfront,4,location room foods 
157,160,0.109,0.714,0.177,0.25,Grand Copthorne Waterfront,4, pack tea bag offered coffee maker  star hotel hardly anything mini bar breakfast crowded chaotic like neighborhood hawker center large room clean comfi bed 
158,161,0.071,0.634,0.295,0.8481,Grand Copthorne Waterfront,4,bit tired pool area drab pool bar operating phone order drinks working carry drinks via lifts bar pool offers help reception staff excellent assisted us late checkout breakfast v good concierge helpful 
159,162,0.0,0.528,0.472,0.8701,Grand Copthorne Waterfront,4,pillows little bit soft liking hotel little bit old cleanliness excellent breakfast also excellent 
160,163,0.0,0.462,0.538,0.7906,Grand Copthorne Waterfront,4,location good near great wall shopping ce tre 
161,164,0.0,0.897,0.103,0.4939,Grand Copthorne Waterfront,4,wasnt able get late check even requesting booking requested extra blanket told would delivered room prompt staff twice call one came even till next morning friendly front house staff 
162,165,0.0,1.0,0.0,0.0,Grand Copthorne Waterfront,4,rooms old furniture dated hidden corners vacuumed 
163,166,0.0,0.512,0.488,0.9639,Grand Copthorne Waterfront,4,rooms little dated excellent location beautiful views overlooking river walking distance restaurants breakfast buffet offered good choice international foods lovely public areas guests staff professional friendly helpful 
164,167,0.0,0.762,0.238,0.6124,Grand Copthorne Waterfront,4,bathroom tiles mildew could cleaned check call staff get done breakfast check went well room good decent view 
165,168,0.0,0.425,0.575,0.9893,Grand Copthorne Waterfront,4,overnight stay friend expercience awesome requested check granted nice view high floor request specially id like breakfast friend enjoy many selections specially cook section requested wonderful delicious omellete laksa dessert fruits selections flavour ice cream kudos team recommended surely come back thanks 
166,169,0.112,0.639,0.249,0.5106,Grand Copthorne Waterfront,3,went celebrate anniversary requested cake entertained pillows bad came home stiff neck told receptionist check apologize told us write professional big toilet bath tub 
167,170,0.0,1.0,0.0,0.0,Mercure Singapore On Stevens,3,slow respond reception counter 
168,171,0.0,0.267,0.733,0.6705,Mercure Singapore On Stevens,4,breakfast nice clean room 
169,172,0.0,0.0,1.0,0.6808,Mercure Singapore On Stevens,4,good clean 
170,173,0.168,0.61,0.223,0.2023,Mercure Singapore On Stevens,4,crowded breakfast severing hall times place sitting personal helpful showed much stress breakfast time would  minutes longer may make solve part problem  clean  shuttle bus 
171,174,0.0,1.0,0.0,0.0,Mercure Singapore On Stevens,3,room way mall pool 
172,175,0.108,0.694,0.198,0.6369,Mercure Singapore On Stevens,4,carpark signboard clear leading wrong carpark check staff unable waive fee wrong carpark hotel also policy one complimentary carpark coupon given guest daily amenities within walking distance becomes big issue guests travel nearby region without incurring carpark costs checkin checkout fast staff friendly hotel room clean 
173,176,0.113,0.887,0.0,-0.3182,Mercure Singapore On Stevens,3,staff attitude lack service rooms wearing already much dining options shower water boiling even turning cold gym location breakfast 
174,177,0.0,0.734,0.266,0.4404,Mercure Singapore On Stevens,3,everything good except found room rather small price paid 
175,178,0.094,0.596,0.31,0.9598,Mercure Singapore On Stevens,4,beginning layout novotel mature hotels quite confusing wrong turns managed familiarize area entertainment introduced usual swimming pool gym stay raining heavily direct shelter restaurants hence quite inconvenience guests bound get drenched service warm welcoming pleasant service reception premier lounge however premier lounge great place meals splendid view although location hotel near orchard still provides tranquility rural area provides peaceful environment chill get away busy lifestyle 
