,No.,neg,neu,pos,compound,Hotel Name,Ratings,Reviews
254,257,0.118,0.758,0.124,-0.0258,Grand Copthorne Waterfront,3,hotel facilities  stars atleast  stars kept receiving emails check online payment confirmation although stated pay arrival credit card charged x small amounts promised refunded follow checked also took long st customer service idea nd person helped room big outdated tv movies channel news russia n war plenty local channel either chinese indian languages understand breakfast food standard fresh food fresh bread croissants stuff barely understood english checked day early emergency flight back perth pet sick died long asked refund last day stay promised follow manager nothing happened instead still getting email messages advise hotel checked time day left perth think date technology guests details information online much like far foot transport locals attractions restaurants nearby restaurants pricey average indian small portions food 
255,258,0.0,0.714,0.286,0.8807,Grand Copthorne Waterfront,4,check process could faster perhaps one staff oversee process waiting line  guests ahead needed wait mins room large location convenient attractions room clean comfortable room service also prompt room also value money 
256,259,0.0,0.894,0.106,0.3612,Grand Copthorne Waterfront,4,waiting line check requesting via app room booked different one booked online links given check check area places like orchard vivo near 
257,260,0.0,1.0,0.0,0.0,Grand Copthorne Waterfront,3,review hidden meet guidelines
258,261,0.0,0.673,0.327,0.5267,Grand Copthorne Waterfront,4,room paid requested get kind room location cleanliness 
259,262,0.0,0.714,0.286,0.5574,Grand Copthorne Waterfront,4,room larger average singapore fantastic location close river bars restaurants 
260,263,0.0,0.732,0.268,0.5106,Grand Copthorne Waterfront,3,rooms different pictures web room specious staff pleasant helpfull freindly 
261,264,0.0,0.463,0.537,0.7003,Grand Copthorne Waterfront,4,na room size good house keeping good 
262,265,0.0,1.0,0.0,0.0,Grand Copthorne Waterfront,4,convenience 
263,266,0.361,0.639,0.0,-0.5256,Grand Copthorne Waterfront,3,breakfast options extremely poor especially vegetarian guests 
264,267,0.0,0.625,0.375,0.4588,Grand Copthorne Waterfront,4,bidget toilet proximity many places interest 
265,268,0.0,0.577,0.423,0.765,Grand Copthorne Waterfront,4,room bit run even still acceptably mantained location great room spacious 
266,269,0.0,0.408,0.592,0.4404,Grand Copthorne Waterfront,3,breakfast location good 
267,270,0.0,0.556,0.444,0.7906,Mercure Singapore On Stevens,2,price high room definitely value money room small basic reasonably good breakfast spread 
268,271,0.0,0.19,0.81,0.8176,Mercure Singapore On Stevens,4,clean good pool good breakfast 
269,272,0.0,0.526,0.474,0.4019,Mercure Singapore On Stevens,5,wish bidet toilet everything 
270,273,0.0,0.715,0.285,0.4927,Mercure Singapore On Stevens,2,room small lacking conformable chair sit breakfast quite good 
271,274,0.089,0.536,0.375,0.944,Mercure Singapore On Stevens,5,breakfast think maybe cooked food halal easy much better people non muslim muslim eating confuse confidence like eating st day breakfast husband want sorry saying give suggestion okay location quick okay far going anywhere really like good idea bus pickup drop galleria come singapore 
272,275,0.047,0.547,0.405,0.9246,Mercure Singapore On Stevens,4,breakfast quite expensive guess thats hotel prices chose stay b b basis choices limited outside hotel staff freindly helpful clean tidy always greeted smile good location needed free shuttle bus shops 
273,276,0.0,0.64,0.36,0.8785,Mercure Singapore On Stevens,5,little town useful shuttle service took us fro shopping malls near tube station quiet comfortable rooms best quiet aircon ever experienced 
274,277,0.0,1.0,0.0,0.0,Mercure Singapore On Stevens,2,location cleaniness 
275,278,0.0,0.417,0.583,0.6808,Mercure Singapore On Stevens,5,small rooms clean good service location 
276,279,0.0,0.476,0.524,0.8999,Mercure Singapore On Stevens,4,everything usual excellent mercure standard great beds ever breakfast really good range dishes 
277,280,0.0,0.709,0.291,0.9895,Mercure Singapore On Stevens,4,first location might issue need close major attractions bid deal since like walking one sense distance major attractions plus case like separation breakfasts restaurant next infinity pool also another one near entrance even though seemed serving buffet reason guests using one close entrance others allowed one next pool like idea turned door tried enter one next pool breakfast downstairs kind crowded singapore good destination comes accommodation first expensive look large room even decent sized rooms expensive hand mercure orchard offers nice room acceptable price tradeoff location bit major attractions even though name orchard walking orchard street would take least   minutes fast hotel nice would stay next time well breakfast good infinity pool relaxing long walking day 
278,281,0.0,0.667,0.333,0.7574,Mercure Singapore On Stevens,5,free shuttle bus orchard really convenient every min bus comes really good sightseeing started orchard 
279,282,0.246,0.339,0.414,0.856,Mercure Singapore On Stevens,5,nothing superb hotel great breakfast crisp gorgeous sheets bedding pristine rooms fabulous pool friendly staff loved sad leave doen front desk deserves mention amazing 
280,283,0.0,0.09,0.91,0.8779,Mercure Singapore On Stevens,5,clean comfortable great location 
281,284,0.0,1.0,0.0,0.0,Mercure Singapore On Stevens,2,expensive small room min amenities nothing 
282,285,0.088,0.373,0.539,0.9062,Mercure Singapore On Stevens,4,like allows room dislike like rooms rest sleep cosy enough like breakfast offered variety healthy like friendly staff 
283,286,0.078,0.403,0.519,0.936,Mercure Singapore On Stevens,5,none pleasant stay room clean amenities price point good convenience store nearby good selection restaurants well took free shuttle orchard great 
284,287,0.0,1.0,0.0,0.0,Mercure Singapore On Stevens,5,breakfast monotonous repeatetive menue staffs service oriented 
285,288,0.0,0.547,0.453,0.7003,Mercure Singapore On Stevens,4,bidet toilet good lighting room good view soft bed 
286,289,0.0,0.452,0.548,0.8176,Mercure Singapore On Stevens,5,close downtown modern hotel nice rooms good gym helpful staff 
287,290,0.168,0.508,0.324,0.7841,Mercure Singapore On Stevens,2,room small noisy sink partly blocked water took long time run away ie empty croissants coffee etc excellent staff friendly courteous effiecient 
288,291,0.0,1.0,0.0,0.0,Mercure Singapore On Stevens,5,location 
289,292,0.0,1.0,0.0,0.0,Mercure Singapore On Stevens,2,size room storage bathroom pool 
290,293,0.148,0.714,0.138,-0.0516,Mercure Singapore On Stevens,2,better service booked guest understand service slow poor every request took  mins asked told long queue request 
291,294,0.0,1.0,0.0,0.0,Mercure Singapore On Stevens,4,latte 
292,295,0.0,1.0,0.0,0.0,Hotel Boss,4,restaurant small rooms dark 
293,296,0.014,0.708,0.278,0.9712,Hotel Boss,4,size room small breakfast variety match price paid house keeping room amenities undertaken everyday specifically requested great location walkable distance bugis street mustafa centre little india kampong glam mrt bus station staff friendly professional property well maintained restaurants grocery mart drinks place surrounding property required leave bags baggage counter checkout collect later common space th floor nice sit work relax nice open public space adjacent hotel calm rejoicing evening time 
294,297,0.077,0.592,0.331,0.9546,Hotel Boss,4,extremely difficult get wifi connection made difficult confirm flights organise travel room room crowded  people luggage breakfast cater western style breakfast cereal muesli yoghurt range fresh fruit pillows good quality pool great liked towels supplied staff helpful organising late checkout taxi airport location good beds comfortable towels water plentiful linen good apart pillows 
295,298,0.0,0.786,0.214,0.6222,Hotel Boss,4,rooms quite location amazing  meters lavender mrt lots eating options around walking distance also supermarket hotel 
296,299,0.163,0.653,0.185,0.3353,Hotel Boss,3,rooms pretty small booked triple room found double plus single wasnt ideal wasnt end world bathroom extremely cramped single rubbish bin reception area huge lots bags avoid hotel rooms small finish furnishings arent particularly good either location pretty good short walk maybe  minutes little india check process quick easy 
297,300,0.0,0.577,0.423,0.765,Hotel Boss,4,room size bit small great location city view cleanliness room comfort 
298,301,0.0,0.573,0.427,0.8979,Hotel Boss,4,sound proofing good hear conversation noise late return guests common walk way cleanliness room could better friendly service good location 
299,302,0.0,0.554,0.446,0.9022,Hotel Boss,4,bathroom easily wet shower although glass door separate shower area sink location excellent although room smaller side clean comfortable 
300,303,0.205,0.551,0.244,0.1263,Hotel Boss,3,rooms small bed uncomfortable breakfast average really liked pool 
301,304,0.0,0.793,0.207,0.9517,Hotel Boss,4,room tiny pictures made look bigger reality beds firm  persons room luggage felt like living sardine tiny bathroom place hang  towels balcony absolutely view inside courtyard hotel tried breakfast buffet indian breakfast almost nothing term western food worth price asled perfect location visit singapore mrt far little india kampong klam walked corner hainan restaurant fun pool area nice towel provided self service open tolerated   self serve laundromat sg per wash including soap sg dryer amazing 
302,305,0.25,0.517,0.233,-0.0516,Hotel Boss,3,worker clean room second day room bit dirty 
303,306,0.129,0.67,0.201,0.4601,Hotel Boss,4,housekeeping service stay room absolutely tiny barely enough room us open suitcases quite noisy could hear banging doors people walking lifts meal restaurant terrace disgusting would recommend eating reception staff friendly room clean 
304,307,0.154,0.691,0.154,0.0,Hotel Boss,4,lifts dusty rooms dirty got room room complimentary coffee tea water supplied daily location cafe 
305,308,0.0,1.0,0.0,0.0,Hotel Boss,3,small rooms 
306,309,0.0,1.0,0.0,0.0,Hotel Boss,3,room extremely small know booked would small would 
307,310,0.0,0.526,0.474,0.4019,Hotel Boss,4,rooms small affordable clean 
308,311,0.0,0.543,0.457,0.6369,Hotel Boss,4,th time hotel love everything abt 
309,312,0.0,1.0,0.0,0.0,Hotel Boss,3,gave smirking room first central location 
310,313,0.0,1.0,0.0,0.0,Hotel Boss,4,none convienence place staff 
311,314,0.054,0.76,0.186,0.6808,Hotel Boss,4,requested interconnected rooms booking com confirmed travelling find reception hotel offer rooms asked  us family members share two rooms talking  little kids wife however complaints providing evidences offered family room top floor late check lucky would like booking com provide correct information customer 
312,315,0.0,0.652,0.348,0.9062,Hotel Boss,4,hot water ran quickly staying family room  people wait bit easy check courteous friendly front desk staff good location near mrt station local restaurants fast lifts elevators 
313,316,0.0,0.722,0.278,0.4019,Hotel Boss,4,tad far buses go often cheap clean rooms 
314,317,0.075,0.579,0.345,0.891,Hotel Boss,3,signal bad phone wifi reliant tv channels much price paid could given alot like bedroom slippers better wifi connection even bath robes esp wifi work guys love centric location hotel facilities staff good well 
315,318,0.026,0.76,0.214,0.8908,Hotel Boss,4,change first room noticed hair sink second room clean dust hangers using two incidents tell cleaning staff checklist follow one inspecting rooms cleanliness take days least dust build hangers internet connection little shaky modern hotel close transportation links efficient check check issue first room apologized seems like upgraded better room balcony city view 
316,319,0.231,0.769,0.0,-0.34,Hotel Boss,3,small rooms argue front desk get room cleaned location 
317,320,0.0,0.256,0.744,0.4404,Royal Plaza on Scotts,5,good location 
318,321,0.138,0.692,0.169,0.1027,Royal Plaza on Scotts,4,hotel staff ok strange slow process check convenient go restaurant shopping 
319,322,0.0,0.814,0.186,0.4939,Royal Plaza on Scotts,4,counter staff carousel friendly professional particularly one female chinese staff apologies unable recall chinese name 
320,323,0.0,0.437,0.563,0.891,Royal Plaza on Scotts,4,carpark convenient pool family friendly breakfast buffet good place clean nice staff polite 
321,324,0.0,0.574,0.426,0.9442,Royal Plaza on Scotts,5,staffs helpful dialed recep numerous times ti clarify matters never picked everything else room fantastic clean smart walk wardrobe bae toilet bidet location hotel en pointe love come staycation 
322,325,0.0,0.275,0.725,0.9217,Royal Plaza on Scotts,4,room neat staff friendly location good view window great 
323,326,0.059,0.633,0.308,0.9506,Royal Plaza on Scotts,3,well supposed  star hotel guess look things wanted boil water maggie cup coffee horror kettle mouldy well maybe previous guest didnt wash properly use isnt housekeeping team check appliance didnt even bother ask chance check hours well like bed course sooooo comfy didnt want leave room wanted extend stay hahaha plus location pretty strategic lots malls movie cinema mins hotel addition duty free outlet next hotel 
324,327,0.0,0.494,0.506,0.6249,Royal Plaza on Scotts,4,great location next shopping district 
325,328,0.0,0.594,0.406,0.6249,Royal Plaza on Scotts,4,near city centre great place shopping restaurants 
326,329,0.0,0.396,0.604,0.9287,Royal Plaza on Scotts,5,bothing fabulous location free non alcoholic drinks mini bar excellent free breakfast buffet 
327,330,0.248,0.661,0.091,-0.4404,Royal Plaza on Scotts,4,wifi hopeless go lobby use laptop work bed breakfast shower 
328,331,0.0,0.643,0.357,0.836,Royal Plaza on Scotts,4,preferred control lights inside room checkin process smooth staffs friendly overall nice hotel room size bigger expected amenities good 
329,332,0.069,0.585,0.346,0.6361,Royal Plaza on Scotts,4,gym facility could cleaner less gloomy even though facing pool enjoyed room ambience cozy feeling 
330,333,0.0,0.822,0.178,0.7906,Royal Plaza on Scotts,4,breakfast food almost past  days limit number toiletries asked extra first day purchased upon arrival used since freshen airport able use mobile wifi provided like location situated perfectly center itineraries walking distance almost sorts public transport walking distance malls shops 
331,334,0.201,0.388,0.411,0.752,Royal Plaza on Scotts,5,nothing like lovely place stay singapore location excellent close shops food cinema staff wonderful friendly 
332,335,0.0,0.588,0.412,0.4215,Royal Plaza on Scotts,5,nice staff near every properti 
333,336,0.0,0.39,0.61,0.8555,Royal Plaza on Scotts,4,bathroom room bit small location great good value money 
334,337,0.0,0.482,0.518,0.8957,Royal Plaza on Scotts,4,small room simple gym pool better location halal food good breakfast friendly staff efficient service 
335,338,0.0,0.511,0.489,0.9531,Royal Plaza on Scotts,4,award winning buffet breakfast ok nothing exceptional even croissants spread property smack middle orchard road central close everything room clean amenities good staff quite friendly 
336,339,0.138,0.605,0.257,0.6705,Royal Plaza on Scotts,4,coffee capsules would nice take double espresso usually took quite long time request extras shower taps bit dated weak sasha check noted comment previous  stays v bad views gave us room cheerful view truly appreciate 
337,340,0.0,0.703,0.297,0.5859,Royal Plaza on Scotts,5,view room view eventhough put premier level breakfast buffet amazing 
338,341,0.0,0.675,0.325,0.802,Royal Plaza on Scotts,5,club room bit smaller expected however large enough typical singapore standards staff professional friendly rooms seem renovated well good fittings 
339,342,0.0,0.506,0.494,0.9485,Royal Plaza on Scotts,5,breakfast great interms food everyday whether weekend week day friendly extremely helpful staff service smile excellent location close mrt station ion orchard 
340,343,0.0,1.0,0.0,0.0,Royal Plaza on Scotts,4,socket hair dryer bathroom 
341,344,0.0,0.883,0.117,0.5106,Royal Plaza on Scotts,4,bathing water suddenly turned brown repair works pipes taking place called concierge said would send someone check water wait  mins someone arrived staff patient bed comfortable 
342,345,0.0,0.4,0.6,0.7184,Grand Copthorne Waterfront,4,waited  hours check helpful friendly staff 
343,346,0.0,0.899,0.101,0.6597,Grand Copthorne Waterfront,4,waited   hrs check due long q check time almost   pm check time am early hotel could consider check time  pm instead housekeeping service slow waited till pm clean room yet one came till almost half past  end call housekeeping staff change bath towels clean rubbish bin toiletries incomplete upon check rooms 
344,347,0.207,0.541,0.252,0.128,Grand Copthorne Waterfront,4,lack attention customer needs staff generally helpful polite 
345,348,0.0,0.676,0.324,0.5859,Grand Copthorne Waterfront,4,older style throughout damp feeling carpet bit musty small rooms comfortable bed 
346,349,0.0,1.0,0.0,0.0,Grand Copthorne Waterfront,4,wanted bathtub tv abit small channel room shower 
347,350,0.0,0.491,0.509,0.9559,Grand Copthorne Waterfront,4,nil service attention manager shirley awesome made check th floor great experiemce daily breakfast took care daughters well professional customer sevice awesome 
348,351,0.0,0.854,0.146,0.4404,Grand Copthorne Waterfront,4,waited   hours check despite made appointment slot check already waited  hours bed available checked spacious good service recovery 
349,352,0.046,0.64,0.313,0.9781,Grand Copthorne Waterfront,4,hotel could request guests prefill health declaration prior check similar hospitals reduce check waiting time guests lead tables breakfast sadly people gracious  pax sitting  pax tables system amend pool reservation trace back earlier reservations would great location waa great near great world city restaurants along robertson quay good hotel rooms reasonably clean see cleaners overworked appreciate hard work hotel staffs also trying best front desk f b staff facility staff 
350,353,0.0,1.0,0.0,0.0,Grand Copthorne Waterfront,4,system slow location 
351,354,0.0,0.824,0.176,0.4939,Grand Copthorne Waterfront,4,tv old school quite small far bed cannot connect internet thru tv staff friendly room spacious 
352,355,0.0,0.847,0.153,0.4404,Grand Copthorne Waterfront,4,cigarette smoke toilet pool towel toilet door slams whenever open close got room wanted good sound insulation 
353,356,0.0,0.473,0.527,0.9403,Grand Copthorne Waterfront,4,bidet toilet choices transportation friendly much option breakfast listed fact room clean huge friendly compassionate staff surprise husband anniversary card effort 
354,357,0.067,0.568,0.364,0.9201,Grand Copthorne Waterfront,4,rooms got first asked wasted time waiting correct one breakfast shambles taking hour order get us forgetting wife order value money could better check process could better got impression local guests treasured location fantastic 
355,358,0.0,0.682,0.318,0.4215,Grand Copthorne Waterfront,4,little main stream singapore nice modern hotel 
356,359,0.317,0.397,0.286,0.1531,Grand Copthorne Waterfront,4,breakfast limited days due low occupancy location fantastic 
357,360,0.0,0.734,0.266,0.4404,Grand Copthorne Waterfront,4,bbc tv american cnn bathroom need renovation good location 
358,361,0.0,0.588,0.412,0.6369,Grand Copthorne Waterfront,4,na love location close restaurants bars office 
359,362,0.146,0.556,0.298,0.4588,Grand Copthorne Waterfront,4,hope grand copthorne consider halal food foe muslim customers order grab food dinner ambiance 
360,363,0.0,1.0,0.0,0.0,Grand Copthorne Waterfront,3,hotel rooms need renovation considering lam staying club room restaurant food  star hotel view higher level club room 
361,364,0.033,0.588,0.379,0.9849,Grand Copthorne Waterfront,4,real facilities pool possibly seasonal broken jacuzzi book lounge access room perks breakfast afternoon tea th floor beautiful view well complimentary cocktails snacks greeted lovely receptionist long flight gave us star service moment arrived room spacious breakfast good options location perfect min walk gardens bay little india arab street hotel could little touch tlc overall great value would recommend stay loved seating outside coffee watching family otters playing river 
362,365,0.0,1.0,0.0,0.0,Grand Copthorne Waterfront,4,breakfast 
363,366,0.0,0.517,0.483,0.4215,Grand Copthorne Waterfront,4,quality hotel nice pool 
364,367,0.0,0.633,0.367,0.4404,Grand Copthorne Waterfront,3,good service food options breakfast much 
365,368,0.112,0.703,0.185,0.3182,Grand Copthorne Waterfront,3,staff good enough check staff queues waiting customers frequent room horrible sewerage smell outside passage toilet seat fixed pan moved using good breakfast lots choices 
366,369,0.341,0.659,0.0,-0.4767,Grand Copthorne Waterfront,4,pool area jacuzzi poor sitting river evening 
367,395,0.0,1.0,0.0,0.0,Hotel Boss,4,room size small bidet toilet location 
368,396,0.0,1.0,0.0,0.0,Hotel Boss,4,room size small much space move bidet toilet location 
369,397,0.0,1.0,0.0,0.0,Hotel Boss,4,small room size bidet toilet location 
370,398,0.0,1.0,0.0,0.0,Hotel Boss,4,room little small close mrt central 
371,399,0.105,0.373,0.522,0.9058,Hotel Boss,3,room small wi fi terrible basically work room clean staff nice especially concierge super nice location good 
372,400,0.0,0.583,0.417,0.8519,Hotel Boss,4,rooms bit crampy wish spacious location awesome walk nearby places like bugis street mustafa little india 
373,401,0.0,1.0,0.0,0.0,Hotel Boss,4,room tiny pool 
374,402,0.0,0.645,0.355,0.0258,Hotel Boss,4,lobby crowded room 
375,403,0.053,0.569,0.377,0.958,Hotel Boss,4,door soundproof could hear quite bit hallway unfortunate luck staying big family next rooms decided use hallway living hang room could hear everything great room value right near mrt station near downtown nice areas go around staff nice kind fine small room good deal 
376,404,0.0,0.412,0.588,0.6908,Hotel Boss,4,good location room nice view city 
377,405,0.075,0.705,0.22,0.5106,Hotel Boss,4,like room window facing open area see scenery room sound proof noisy someone talking corridor like ground floor spacious 
378,406,0.33,0.4,0.27,-0.1516,Hotel Boss,3,shower wasnt working great room clean 
379,407,0.0,0.468,0.532,0.91,Hotel Boss,4,room small city view nice housekeeping good job restocking water keeping everything clean location awesome 
380,408,0.0,1.0,0.0,0.0,Hotel Boss,4,rooms really small location 
381,409,0.143,0.664,0.192,0.34,Hotel Boss,4,internet unstable manage could noise room next us evening nice location close little india arabic street close bus stops room small confortable clean 
382,410,0.0,0.514,0.486,0.8176,Hotel Boss,4,size room small cupboard drawers room clean easy check check good location 
383,411,0.0,0.615,0.385,0.3612,Hotel Boss,3,like toilet small room small 
384,412,0.0,0.721,0.279,0.7003,Hotel Boss,4,room good  people tight small room clothes take luggages outside balcony location good  min near train station 
385,413,0.0,0.752,0.248,0.9042,Hotel Boss,4,minor maintenance issues like kettle toilet leaking reported management fixed promptly excellent location near mrt access local bus services plenty eating places within walking distance near golden mile complex need take coach kuala lumpur malaysia staff friendly helpful would stay singapore 
386,414,0.275,0.596,0.128,-0.4939,Hotel Boss,4,size room wifi poor everything except wifi connectivity tv youtube entertainment wifi pool area room weak 
387,415,0.104,0.896,0.0,-0.4404,Hotel Boss,3,hotel color makes look smaller hallway dark color room sound proof conversation hallway heard inside room disturbs guests also water flow next door heard room location 
388,416,0.052,0.764,0.184,0.8934,Hotel Boss,3,small room even  people felt little claustrophobic even though room service cleaning every  days going green still option call reception request water extra towels pillows hand towels face washers found odd call towels asked face washers bath towels told bath towels floor towel towels could softer breakfast basic paid extra value money limited choices standard improved best thing hotel location close public transport walk many places interests weather permitting 
389,417,0.088,0.822,0.091,0.0258,Hotel Boss,4,wifi poor room tv channel youtube working try fix wifi total stay  days single day could could see tv local channels youtube location hotel friendly staff esply bell boy fb staff 
390,418,0.126,0.792,0.082,-0.128,Hotel Boss,3,room small  people space take clothes away luggage luggage stabbed asked upgrade pay difference staff helpful asked us come check availability every day  clock tell us room really overview location 
391,419,0.097,0.552,0.352,0.5719,Hotel Boss,3,hard bed small room minimal breakfast city center clean value money 
392,420,0.0,0.873,0.127,0.4404,Royal Plaza on Scotts,3,bathroom mouldy bathtub soap residue housekeeping nd day dn stay bath robe breakfast average omelette live station dry burnt good location 
393,421,0.07,0.817,0.113,0.2732,Royal Plaza on Scotts,3,facilities closed due covid restrictions discount price big signs outside hotel offering locals stay fraction price charged central easy get around places singapore 
394,422,0.053,0.889,0.057,0.0516,Royal Plaza on Scotts,2,porter luggage rooms cleaned everyday restaurant much choice ordered caesar salad club sandwich room service caesar salad much sauce ordered another one club sandwich fries potato chips instead good either q dewe told rooms cleaned due covid total nonsense see crowded restaurant think question reducing cost much say 
395,423,0.23,0.618,0.152,-0.34,Royal Plaza on Scotts,0,worst service seen  star zero service one pick phone clean rooms alternate day 
396,424,0.0,0.682,0.318,0.4215,Royal Plaza on Scotts,5,qibla direction bidet toilet halal foods nice 
397,425,0.196,0.535,0.269,0.6597,Royal Plaza on Scotts,1,hotel offered limited room service due staff shortage avoid buying rooms third party booking com booking com hotel able help booked rooms wrong guest name third party booking com due preset credit card details hotel staff made difficult sending email third party help 
398,426,0.162,0.653,0.184,0.4284,Royal Plaza on Scotts,2,food breakfast horrible even bother change menu taste food nice children refused go eat take cafes nearby throughout stay singapore value money taking room breakfast staff generally friendly called ask house keeping service etc sounded rude phone room cleaned daily basis pissed informed prior booking unfair one informed check either called ask housekeeping service told phone practice rooms cleaned every alternate day due covid policy minimise contact surely mere excuse hotel time visiting staff visitors mostly fully vaccinated also impose rule whereby housekeeping done presence hotel guests rooms case consider hotel location perfect room great two double beds comfortable 
399,427,0.0,0.599,0.401,0.6908,Royal Plaza on Scotts,2,would expect someone help hail taxi airport covid always someone help get taxi 
400,428,0.0,0.573,0.427,0.8979,Royal Plaza on Scotts,5,cannot get food breakfast buffet due covid great location right opposite ion shopping mall beautiful decor lobby nice breakfast buffet 
401,429,0.221,0.651,0.127,-0.5859,Royal Plaza on Scotts,1,partial refund lack services pool closure service charge concierge turn service drag bags room drag check greeting room clean blame covid fully booked restaurant breakfast awful low quality food asked bacon given luncheon meat upgraded premier room paid extra nothing pool also closed booked hotel pool like  years ago 
402,430,0.108,0.892,0.0,-0.6801,Royal Plaza on Scotts,2,booked executive suites lounge access eligible per condition however premier lounge converted co working space chairs magazine soft drink evening cocktail staff etc comes normal lounge service asked soft drink restaurant least even regular lounge hotel staff refused hotel provide lounge service list room condition available really disappointed 
403,431,0.0,0.692,0.308,0.9761,Royal Plaza on Scotts,5,room near near main road able hear traffic zooming trying rest toilet shower head holder spoilt room cold even room air con switch night sleeping clean room great services staffs pleasure attended mr dragon polite professional serving us staffs carousel also deserves mentioned giving us great service dinner th april busy given buffets opened day make every effort attend requests food fantastic well compliments chefs 
404,432,0.339,0.484,0.177,-0.7193,Royal Plaza on Scotts,0,service bad never pick phone reception housekeeping room service staff super rude racist clean rooms daily alternate day even book suite nothing like hotel 
405,433,0.197,0.673,0.13,-0.34,Royal Plaza on Scotts,0,zero service one picks phone clean rooms room service also go price worst  star nothing location 
406,434,0.397,0.256,0.346,-0.1027,Royal Plaza on Scotts,2,clean poor services location 
407,435,0.28,0.498,0.222,-0.128,Royal Plaza on Scotts,2, days cleaning services lack lot room stuff vanity shaver water toothpaste view good breakfast poor everday location good 
408,436,0.0,1.0,0.0,0.0,Royal Plaza on Scotts,2,review hidden meet guidelines
409,437,0.0,0.867,0.133,0.3182,Royal Plaza on Scotts,3,pool construction alternatives hotel facilities tv unable hook phone either screen casting hdmi breakfast fair enough 
410,438,0.0,0.775,0.225,0.4404,Royal Plaza on Scotts,2,room bulbs blown house food menu compared covid  good unlike covid  
411,439,0.066,0.625,0.309,0.8316,Royal Plaza on Scotts,2,breakfast tv channels basic local channel lagging tone pictures syncronize halal microwave fast n smooth check staffs excellent sofa bed free flow complimentary carpark coupons 
412,440,0.22,0.78,0.0,-0.3089,Royal Plaza on Scotts,3,staff busy ask call taxi airport cant help locatiojn 
413,441,0.088,0.645,0.267,0.5994,Royal Plaza on Scotts,2,housekeeping service everyday reception let us know prior booking breakfast limited option bed good layout room good 
414,442,0.0,1.0,0.0,0.0,Royal Plaza on Scotts,3,rooms creaky old location 
415,443,0.378,0.472,0.15,-0.4404,Royal Plaza on Scotts,0,worth money service meh bad location old everything renovation 
416,444,0.0,0.816,0.184,0.8316,Royal Plaza on Scotts,5,enough usb ports water discharge fast enough taking shower able smell someone cooking around noon time ask air freshener staff royal plaza scotts friendly helpful applies front desk restaurant housekeeping location central able lot shopping malls subway around corner executive suite nice 
417,445,0.11,0.649,0.24,0.4588,Grand Copthorne Waterfront,3,room offered close lifts floor noisy indidnt sleep two nights location perfect 
418,446,0.0,1.0,0.0,0.0,Grand Copthorne Waterfront,4,took ages drinks arrive pool one occasion go  floors get drink never shown waterfront location river bars restaurants within walking distance 
419,447,0.0,1.0,0.0,0.0,Grand Copthorne Waterfront,4,review hidden meet guidelines
420,448,0.101,0.899,0.0,-0.4417,Grand Copthorne Waterfront,3,breakfast spread little disappointing would expected choices check slow deluxe room little smell room upgrading prompt response property location near town city accessibility robertson quay boat quay 
421,449,0.087,0.624,0.288,0.944,Grand Copthorne Waterfront,3,definitely  star hotel  nights  rooms st room smelling like smokers room nd room although supposed person room  bed side table light switches  side bed unstable move partner wake due swinging rd room noisy behind elevators rooms carpet really good cleaned bathroom nice neither bathtub shower separate shower fill tub said  maybe  star good hotel definitely  star regret booked staff friendly helpful 
422,450,0.435,0.565,0.0,-0.8402,Grand Copthorne Waterfront,3,noisy ac room many dining facilities tv channels poor choice poor quality tv signal relatively low cost 
423,451,0.0,0.879,0.121,0.4404,Grand Copthorne Waterfront,4,location next robertson quay mrt shops close breakfast expectations service slow view room good avis hotel makes convenient rent car situated centrally 
424,452,0.09,0.682,0.228,0.7688,Grand Copthorne Waterfront,4,service examples got name wrong check waited almost  hours greek salad room dine service took long time send bottled drinking water name also idea room kept feeling quite warm even adjusting temperature lowest  deg celsius location nice lot nice bars restaurants around near city centre well room quite sizable singapore clean 
425,453,0.0,0.861,0.139,0.4404,Grand Copthorne Waterfront,4,give upgrade bigger room table work may future give st storey instead  storey breakfast good siew mai serve  oct  
426,454,0.1,0.578,0.322,0.9001,Grand Copthorne Waterfront,4,room big pity double bed extra big put sofa  seater instead  single seats cos comfortable swimming pool boring bathroom luxuriously big though abit plain put deco greenery gym great love complimentary parking 
427,455,0.0,0.329,0.671,0.9053,Grand Copthorne Waterfront,4,location really good room comfortable clean view also nice visit 
428,456,0.0,0.661,0.339,0.6249,Grand Copthorne Waterfront,4,position right river great right next loads bars restaurants 
429,457,0.038,0.762,0.2,0.8024,Grand Copthorne Waterfront,4,staff worked incredibly hard breakfast seemed understaffed meant really five star service tables laid mugs ran coffee disposable cups used plastic spoons yoghurt three star hotel bali  times staff size area spacious comfortable clean rooms good buffet breakfast 
430,458,0.0,0.468,0.532,0.91,Grand Copthorne Waterfront,4,room small dated families would nice option bath liked breakfast pool area nice location great 
431,459,0.085,0.577,0.338,0.6204,Grand Copthorne Waterfront,5,suite bathroom little scruffy needed serious furnish great position 
432,460,0.0,0.513,0.487,0.9081,Grand Copthorne Waterfront,4,staff customer service brilliant especially front desk staff big lovely bedroom lovely bar restaurant river 
433,461,0.0,0.641,0.359,0.4215,Grand Copthorne Waterfront,4,thé personal breakfast expensive nice view 
434,462,0.092,0.772,0.136,0.128,Grand Copthorne Waterfront,2,heavy moisture humidity smell room ask change room told rest rooms hotel renovated solution offered spraying odour remover room e temporary solution lasted hours long story short unpleasant  day stay 
